ID,school_name,cert,location,type,fees,Latitude,Longitude,fees_normalized,Latitude_normalized,Longitude_normalized
177,Cairo Modern International School,1,The 1st Settlement,1,57000,30.0645714,31.447989244439903,0.3138637918271947,-0.2534054808325888,0.6074356716348563
178,Skylight Language School,0,October,1,32340,31.08086685,29.724904831435097,-0.2222068547092859,1.8731188639521203,-2.3095020901597803
179,Al Afak Al Gadeda International School,1,The 1st Settlement,1,65000,30.0645714,31.447989244439903,0.487771544150465,-0.2534054808325888,0.6074356716348563
180,سعاد كفافى الدولية,0,El Haram,0,36300,29.850964,31.22094695,-0.1361225173092671,-0.7003634361458457,0.2230852375076301
181,Prime International School,1,The 5th Settlement,1,69350,30.00380455,31.424935726802204,0.5823338844762431,-0.3805556967278593,0.5684093328019629
182,Green Heights Language School,0,The 1st Settlement,1,45000,30.0645714,31.447989244439903,0.0530021633422892,-0.2534054808325888,0.6074356716348563
183,Princeton International School,0,The 5th Settlement,1,72503,30.00380455,31.424935726802204,0.6508752773606521,-0.3805556967278593,0.5684093328019629
184,Green Heights International School,0,The 1st Settlement,1,77000,30.0645714,31.447989244439903,0.7486331726353703,-0.2534054808325888,0.6074356716348563
185,Bady language school,0,El Haram,1,22000,29.850964,31.22094695,-0.4469826245871127,-0.7003634361458457,0.2230852375076301
186,New Horizon International School,0,Zahraa al Maadi,0,55000,29.96051175,31.32331893333732,0.2703868537463771,-0.4711427333557288,0.3963864998791616
187,Cardiff Modern School,2,Badr City,1,34000,30.5726337,30.70326411716084,-0.1861209961022073,0.8096779459576311,-0.6532784463284121
188,British Ramses School,2,Katameya,1,72000,29.9874449,31.5102943234146,0.6399408274333265,-0.4147870750117564,0.7129093421301738
189,British Modern School,2,Badr City,1,47000,30.5726337,30.70326411716084,0.0964791014231068,0.8096779459576311,-0.6532784463284121
190,British International Modern School,2,Zahraa al Maadi,1,37500,29.96051175,31.32331893333732,-0.1100363544607765,-0.4711427333557288,0.3963864998791616
191,Batran Language School,0,El Haram,1,16500,29.850964,31.22094695,-0.566544204309361,-0.7003634361458457,0.2230852375076301
192,The International Schools of Kenana,0,Cairo-Ismailia Desert Road,0,41500,30.1490863,31.4249067,-0.0230824782991414,-0.0765641967876298,0.5683601945387355
193,Genesis International School,0,Cairo-Ismailia Desert Road,0,40000,30.1490863,31.4249067,-0.0556901818597546,-0.0765641967876298,0.5683601945387355
194,École Oasis Internationale,2,Zahraa al Maadi,1,80000,29.96051175,31.32331893333732,0.8138485797565967,-0.4711427333557288,0.3963864998791616
195,Sun of Knowledge British International School,2,Zahraa al Maadi,1,73384,29.96051175,31.32331893333732,0.6700268685852522,-0.4711427333557288,0.3963864998791616
196,New Vision International Schools,0,Sheikh Zayed,1,66411,30.056131850653067,30.972691160621636,0.5184445239664818,-0.2710646242886201,-0.1971766377414677
197,Middle East International Schools,0,Al Maryoutia,0,23950,30.0426329,31.124639,-0.4045926099583156,-0.2993101971609496,0.0600495243436193
198,Capital Gate School,0,The 5th Settlement,1,11000,30.00380455,31.424935726802204,-0.6861057840316094,-0.3805556967278593,0.5684093328019629
199,British Columbia Canadian International School,1,El Shorouk,1,133000,30.11952805,31.60687795516707,1.9659874388982623,-0.138412686037714,0.8764117454388799
200,Evolution International School,2,October,1,145870,31.08086685,29.724904831435097,2.245761535448324,1.8731188639521203,-2.3095020901597803
201,Harrods Language Schools,0,Mokattam,1,30000,30.0163466,31.2804433,-0.2730748722638424,-0.3543123689057108,0.3238041278267177
202,The Egyptian International School (EIS),0,Al Maryoutia,1,11750,30.0426329,31.124639,-0.6698019322513028,-0.2993101971609496,0.0600495243436193
203,Manhattan International Schools,0,Maadi,0,38000,29.95891452548896,31.2605343965376,-0.0991671199405721,-0.4744848095273931,0.2901011752220159
204,Gateway International Montessori School,0,The 5th Settlement,1,116600,30.00380455,31.424935726802204,1.6094765466355585,-0.3805556967278593,0.5684093328019629
205,Egyptian International School Elsheikh Zayed,2,Sheikh Zayed,0,20500,30.056131850653067,30.972691160621636,-0.4795903281477259,-0.2710646242886201,-0.1971766377414677
206,The International School of Choueifat October,0,October,1,93995,31.08086685,29.724904831435097,1.1180784539771176,1.8731188639521203,-2.3095020901597803
207,Dover American International School,1,El Shorouk,1,112028,30.11952805,31.60687795516707,1.5100882661828092,-0.138412686037714,0.8764117454388799
208,Winchester British International School,2,October,1,98000,31.08086685,29.724904831435097,1.2051410224839547,1.8731188639521203,-2.3095020901597803
209,New Capital English Schools,0,New Capital,0,37000,29.95213615,31.71293543787288,-0.1209055889809809,-0.4886680674524036,1.0559520360308874
210,Eastlands International School,2,El Shorouk,1,69882,30.11952805,31.60687795516707,0.5938987500057407,-0.138412686037714,0.8764117454388799
211,Orman College,0,Sheikh Zayed,1,40045,30.056131850653067,30.972691160621636,-0.0547119507529362,-0.2710646242886201,-0.1971766377414677
212,Pearls of Modern School Al-Sherouk,0,El Shorouk,1,24000,30.11952805,31.60687795516707,-0.4035056865062951,-0.138412686037714,0.8764117454388799
213,Smart City Schools,0,Imbaba,0,19500,30.088512,31.215927,-0.5013287971881347,-0.2033115158062184,0.2145871734506411
214,Wise International School,0,Sheikh Zayed,0,48000,30.056131850653067,30.972691160621636,0.1182175704635156,-0.2710646242886201,-0.1971766377414677
215,Mavericks School Kattameya Campus,1,Katameya,1,56500,29.9874449,31.5102943234146,0.3029945573069903,-0.4147870750117564,0.7129093421301738
216,Mavericks School October Campus,2,October,1,63280,31.08086685,29.724904831435097,0.4503813774009618,1.8731188639521203,-2.3095020901597803
217,The British International School in Cairo,0,October,1,523442,31.08086685,29.724904831435097,10.45359876797355,1.8731188639521203,-2.3095020901597803
218,Alwaha Schools,0,El Haram,0,36640,29.850964,31.22094695,-0.1287314378355281,-0.7003634361458457,0.2230852375076301
219,Modern Education Schools,0,The 5th Settlement,0,47000,30.00380455,31.424935726802204,0.0964791014231068,-0.3805556967278593,0.5684093328019629
220,Global Paradigm International School,1,Future City,1,106000,30.04076775,30.982470847844823,1.379048774807225,-0.3032128879401675,-0.1806210129882277
221,Gulf English School Cairo,2,The 5th Settlement,1,73430,30.00380455,31.424935726802204,0.671026838161111,-0.3805556967278593,0.5684093328019629
222,The International School of Elite Education,0,The 5th Settlement,1,91300,30.00380455,31.424935726802204,1.059493279913216,-0.3805556967278593,0.5684093328019629
223,Narmer American College,0,The 5th Settlement,1,97000,30.00380455,31.424935726802204,1.183402553443546,-0.3805556967278593,0.5684093328019629
224,The British School Al Rehab,2,Al Rehab,1,104590,27.2599794,31.346871748275863,1.3483975334602487,-6.121810347929483,0.4362580782953303
225,The British School of Egypt,2,Sheikh Zayed,1,107907,30.056131850653067,30.972691160621636,1.4205040352672846,-0.2710646242886201,-0.1971766377414677
226,Egypt British International School,2,The 5th Settlement,1,120000,30.00380455,31.424935726802204,1.683387341372948,-0.3805556967278593,0.5684093328019629
227,Deutsche Schule der Borromäerinnen in Kairo,2,Bab El Luq,1,90200,30.0458315,31.239586,1.0355809639687663,-0.2926173591981081,0.2546385081301468
228,Capital International Schools,0,The 5th Settlement,1,123000,30.00380455,31.424935726802204,1.7486027484941744,-0.3805556967278593,0.5684093328019629
229,El Alsson School NewGiza,0,October,1,161750,31.08086685,29.724904831435097,2.590968423810015,1.8731188639521203,-2.3095020901597803
230,New Cairo British International School,0,The 5th Settlement,1,147647,30.00380455,31.424935726802204,2.2843907949331297,-0.3805556967278593,0.5684093328019629
231,Canadian International School of Egypt,1,The 5th Settlement,1,145000,30.00380455,31.424935726802204,2.226849067383168,-0.3805556967278593,0.5684093328019629
232,British International College of Cairo,2,The 5th Settlement,1,115000,30.00380455,31.424935726802204,1.574694996170904,-0.3805556967278593,0.5684093328019629
233,Lycée International Balzac,2,The 5th Settlement,1,77000,30.00380455,31.424935726802204,0.7486331726353703,-0.3805556967278593,0.5684093328019629
234,Metropolitan School,1,The 5th Settlement,1,115000,30.00380455,31.424935726802204,1.574694996170904,-0.3805556967278593,0.5684093328019629
235,Marvel International School,2,Sheikh Zayed,1,89000,30.056131850653067,30.972691160621636,1.0094948011202758,-0.2710646242886201,-0.1971766377414677
236,Hayah International Academy,0,The 5th Settlement,1,152000,30.00380455,31.424935726802204,2.379018350666029,-0.3805556967278593,0.5684093328019629
237,Manchester International School,2,The 1st Settlement,1,94200,30.0645714,31.447989244439903,1.1225348401304014,-0.2534054808325888,0.6074356716348563
238,Cairo American College,0,Maadi,1,358974,29.95891452548896,31.2605343965376,6.878316241835597,-0.4744848095273931,0.2901011752220159
239,Malvern College Egypt,0,Katameya,1,191300,29.9874449,31.5102943234146,3.2333401839540947,-0.4147870750117564,0.7129093421301738
240,Misr Language Schools,0,El Haram,0,31600,29.850964,31.22094695,-0.2382933217991884,-0.7003634361458457,0.2230852375076301
241,St.John American School,1,El Shorouk,1,55000,30.11952805,31.60687795516707,0.2703868537463771,-0.138412686037714,0.8764117454388799
242,Modern School of Egypt 2000,0,The 5th Settlement,0,57000,30.00380455,31.424935726802204,0.3138637918271947,-0.3805556967278593,0.5684093328019629
243,The International School Of Egypt,1,The 5th Settlement,1,83500,30.00380455,31.424935726802204,0.8899332213980274,-0.3805556967278593,0.5684093328019629
244,Saint Fatima Language School Abbassia,0,Abbasiya,1,19436,30.066667,31.283333,-0.5027200592067208,-0.2490205901820088,0.3286959804757419
